id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Passy Plaine-Joux,1355,0.0,0.0,0,0,6.74,45.9502,Di. 04:59,00:00:00,-,0.0,0.0,0.0
2,Refuge de Varan,1596,11.2,11.2,840,840,6.68942,45.9453,Di. 06:46,01:47:07,174,6.26,1.7852777777777777,1.7852777777777777
4,Refuge de Platé,2026,16.6,5.4,1588,748,6.71727,45.9655,Di. 08:02,03:03:06,156,4.27,3.0516666666666663,1.2663888888888886
8,Salvagny - Sixt-Fer-à-Cheval,880,30.9,14.3,1961,373,6.77274,46.0418,Di. 10:04,05:05:07,124,7.02,5.085277777777778,2.0336111111111115
10,Refuge du Grenairon,1945,37.1,6.3,3027,1066,6.79817,46.0322,Di. 11:46,06:46:16,112,3.73,6.771111111111111,1.685833333333333
16,Refuge Alfred Wills,1808,52.3,15.2,4026,999,6.79161,46.0045,Di. 14:26,09:26:08,95,5.7,9.435555555555556,2.6644444444444453
18,Refuge Moëde-Anterne,2000,57.5,5.2,4525,499,6.80068,45.9754,Di. 15:33,10:33:42,90,4.6,10.561666666666667,1.1261111111111113
24,Refuge du Châlet d'Ayères,1413,62.6,5.1,4561,36,6.76394,45.9514,Di. 16:18,11:18:30,88,6.79,11.308333333333334,0.7466666666666661
33,Plaine Joux,1355,65.1,2.5,4626,65,6.74,45.9502,Di. 16:35,11:35:51,88,8.65,11.5975,0.28916666666666657
