Point de Passage;Ravito;Altitude;cumul distance;Cumul D+;Delta_Dist_Rom;Delta_H_Rom
Samoëns : centre village;Départ;703;0;0;0;0
Lac de Joux Plane;Ravitaillement completBarrière horaire : Sa. 03:15;1686;12.57;1381;12.57;1381
Lac des Mines d'Or;Ravitaillement completBarrière horaire : Sa. 6:15;1385;24.12;2080;11.55;699
Col de la Golèse;Ravitaillement complet;1656;32.5;2841;8.38;761
Le crêt;Ravitaillement complet + Base Vie Barrière horaire : Sa. 12:15;1007;45.1;3634;12.6;793
Refuge de Folly;Point d'eau;1554;49.04;4191;3.94;557
Refuge de la Vogealle;Point d'eau;1901;56.06;4933;7.02;742
Le Pelly;Ravitaillement completBarrière horaire : Sa. 18:15;919;65.87;5056;9.81;123
Sixt Fer à Cheval;Ravitaillement complet + Base vieBarrière horaire : Sa. 22:00;758;78.21;5825;12.34;769
Lac de gers;Ravitaillement complet;1536;86.28;6746;8.07;921
Samoëns : base de loisirs;Arrivée;688;96.6;6784;10.32;38
